role,name,team
student,damithc,CS2103-T00-1
student,adamsmd,CS2103-T00-2
student,prabhu-na,CS2103-T00-3
student,bluesky0911,CS2103-T00-4
student,anisyusof-sc,CS2103-T00-5
student,wz2k,CS2103-T00-6
student,waynezsy,CS2103-T00-7
student,LamJiuFong,CS2103-T00-8
student,notle1706,CS2103-T00-9
student,jnjy,CS2103-T00-1
student,ARPspoofing,CS2103-T00-2
student,Puakii,CS2103-T00-3
student,gohyongjing,CS2103-T00-4
student,papataco14,CS2103-T00-5
student,sikai00,CS2103-T00-6
student,richiehx,CS2103-T00-7
student,melissaharijanto,CS2103-T00-8
student,huixuant,CS2103-T00-9
student,gongg21,CS2103-T00-1
student,kyueran,CS2103-T00-2
student,billyhoce,CS2103-T00-3
student,Junyi00,CS2103-T00-4
student,oeggy03,CS2103-T00-5
student,tankh99,CS2103-T00-6
student,tim-pipi,CS2103-T00-7
student,dillontkh,CS2103-T00-8
student,yucongkoo,CS2103-T00-9
student,ChillinRage,CS2103-T00-1
student,taniatsq,CS2103-T00-2
student,DistractedCat,CS2103-T00-3
student,wxiaoyun,CS2103-T00-4
student,joelgoh1,CS2103-T00-5
student,Merrickneo,CS2103-T00-6
student,AdityaB4,CS2103-T00-7
student,marcus-ny,CS2103-T00-8
student,HollaG,CS2103-T00-9
student,mfjkri,CS2103-T00-1
student,DingBao-sys,CS2103-T00-2
student,cocoanautz,CS2103-T00-3
student,Zxun2,CS2103-T00-4
student,ashleyclx,CS2103-T00-5
student,narwhalsilent,CS2103-T00-6
student,lynnetteeee,CS2103-T00-7
student,logical-1985516,CS2103-T00-8
student,Tim-Siu,CS2103-T00-9
student,Eclipse-Dominator,CS2103-T00-1
student,Echomo-Xinyu,CS2103-T00-2
student,MadLamprey,CS2103-T00-3
student,nknguyenhc,CS2103-T00-4
student,NereusWB922,CS2103-T00-5
student,Arif-Khalid,CS2103-T00-6
